cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Al,oxide,boehmite,Al2O3·H2O,Al2O3,monohydrate,H2O,solid,,119.9766,-1963.43,-1980.7,-1831.7,17.652,96.86,131.25,1093.9633228479554,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,oxide,diaspore,Al2O3·H2O,Al2O3,monohydrate,H2O,solid,,119.9766,-1977.57,-1998.91,-1841.78,13.6,70.67,106.19,885.0892590721857,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,oxide,gibbsite,Al2O3·3H2O,Al2O3,trihydrate,3H2O,solid,,156.0074,-2550.976,-2586.67,-2310.21,24.912,136.9,183.47,1176.033957363561,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,oxide,bayerite,Al2O3·3H2O,Al2O3,trihydrate,3H2O,solid,,156.0074,,-2576.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,chloride,Aluminum chloride,AlCl3·6H2O,AlCl3,6-hydrate,6H2O,solid,,241.4329,2645.58,-2691.6,-2261.1,49.12,318.0,296.2,1226.8419092841118,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,sulfate,Aluminum sulfate,Al2(SO4)3·6H2O,Al2(SO4)3,6-hydrate,6H2O,solid,,450.2402,,-5311.71,-4622.08,,469.0,492.9,1094.7489806552146,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,sulfate,Aluminum sulfate,Al2(SO4)3·18H2O,Al2(SO4)3,18-hydrate,18H2O,solid,,666.425,,-8878.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,oxide,kaolinite,Al2Si2O7·2H2O,Al2Si2O7,dihydrate,2H2O,solid,,258.1616,,-4119.6,-3799.7,,205.0,246.14,953.4338181975938,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,oxide,halloysite,Al2Si2O7·2H2O,Al2Si2O7,dihydrate,2H2O,solid,,258.1616,,-4101.2,-3780.5,,203.3,246.27,953.9373787581112,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,oxide,dickite,Al2Si2O7·2H2O,Al2Si2O7,dihydrate,2H2O,solid,,258.1616,,-4118.3,-3795.9,,197.1,239.49,927.674758755756,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
