# Cation Configuration
# Format: symbol TAB name TAB group/category
# Symbols listed in order of priority (longer symbols first to avoid conflicts)

# Special polyatomic cations
NH4	Ammonium	polyatomic

# Alkali metals (Group 1)
Na	Sodium	alkali_metal
K	Potassium	alkali_metal
Li	Lithium	alkali_metal
Rb	Rubidium	alkali_metal
Cs	Cesium	alkali_metal
Fr	Francium	alkali_metal

# Alkaline earth metals (Group 2)
Mg	Magnesium	alkaline_earth
Ca	Calcium	alkaline_earth
Sr	Strontium	alkaline_earth
Ba	Barium	alkaline_earth
Ra	Radium	alkaline_earth
Be	Beryllium	alkaline_earth

# Transition metals - Period 4
Sc	Scandium	transition_metal
Ti	Titanium	transition_metal
V	Vanadium	transition_metal
Cr	Chromium	transition_metal
Mn	Manganese	transition_metal
Fe	Iron	transition_metal
Co	Cobalt	transition_metal
Ni	Nickel	transition_metal
Cu	Copper	transition_metal
Zn	Zinc	transition_metal

# Transition metals - Period 5
Y	Yttrium	transition_metal
Zr	Zirconium	transition_metal
Nb	Niobium	transition_metal
Mo	Molybdenum	transition_metal
Tc	Technetium	transition_metal
Ru	Ruthenium	transition_metal
Rh	Rhodium	transition_metal
Pd	Palladium	transition_metal
Ag	Silver	transition_metal
Cd	Cadmium	transition_metal

# Transition metals - Period 6
La	Lanthanum	transition_metal
Hf	Hafnium	transition_metal
Ta	Tantalum	transition_metal
W	Tungsten	transition_metal
Re	Rhenium	transition_metal
Os	Osmium	transition_metal
Ir	Iridium	transition_metal
Pt	Platinum	transition_metal
Au	Gold	transition_metal
Hg	Mercury	transition_metal

# Lanthanides (Rare earths)
Ce	Cerium	lanthanide
Pr	Praseodymium	lanthanide
Nd	Neodymium	lanthanide
Pm	Promethium	lanthanide
Sm	Samarium	lanthanide
Eu	Europium	lanthanide
Gd	Gadolinium	lanthanide
Tb	Terbium	lanthanide
Dy	Dysprosium	lanthanide
Ho	Holmium	lanthanide
Er	Erbium	lanthanide
Tm	Thulium	lanthanide
Yb	Ytterbium	lanthanide
Lu	Lutetium	lanthanide

# Actinides
Th	Thorium	actinide
Pa	Protactinium	actinide
U	Uranium	actinide
Np	Neptunium	actinide
Pu	Plutonium	actinide
Am	Americium	actinide
Cm	Curium	actinide

# Post-transition metals
Al	Aluminum	post_transition_metal
Ga	Gallium	post_transition_metal
In	Indium	post_transition_metal
Tl	Thallium	post_transition_metal
Sn	Tin	post_transition_metal
Pb	Lead	post_transition_metal
Bi	Bismuth	post_transition_metal

# Metalloids
Si	Silicon	metalloid
Ge	Germanium	metalloid
As	Arsenic	metalloid
Sb	Antimony	metalloid
Te	Tellurium	metalloid
Po	Polonium	metalloid

# Other p-block elements
B	Boron	metalloid

