formula,CAS,Tm_C,Tb_C,Td_C,density_g_per_cm3,Hfus_kJ_per_mol,Hfus_kJ_per_kg,Hvap_kJ_per_mol,Hvap_kJ_per_kg,thermal_conductivity_W_per_mK,hardness_Mohs,hardness_Vickers_MPa,source,notes
NaCl,7647-14-5,801,1465,,2.165,28.16,482,170,2908,6.5,2.5,24,CRC Handbook 97th Ed,"halite, M=58.44"
KCl,7447-40-7,770,1420,,1.984,26.53,356,159,2133,7.0,2.0,16,CRC Handbook 97th Ed,"sylvite, M=74.55"
LiCl,7447-41-8,605,1382,,2.068,19.9,469,145,3419,,,,CRC Handbook 97th Ed,M=42.39
MgCl2,7786-30-3,714,1412,,2.320,43.1,453,,,,2.5,30,CRC Handbook 97th Ed,M=95.21
CaCl2,10043-52-4,772,1935,,2.150,28.5,257,,,,2.5,25,CRC Handbook 97th Ed,M=110.98
Na2SO4,7757-82-6,884,1429,,2.664,23.85,168,250,1761,,2.5,28,CRC Handbook 97th Ed,"thenardite, M=142.04"
K2SO4,7778-80-5,1069,1689,,2.662,36.6,210,,,,2.5,32,CRC Handbook 97th Ed,"arcanite, M=174.26"
MgSO4,7487-88-9,1124,,,2.660,,,,,,,,CRC Handbook 97th Ed,"anhydrous, M=120.37"
CaSO4,7778-18-9,1460,,,2.960,,,,,,,350,CRC Handbook 97th Ed,"anhydrite, M=136.14"
BaSO4,7727-43-7,1580,,,4.500,40.0,172,,,,3.0,42,CRC Handbook 97th Ed,"barite, M=233.39"
CaCO3,471-34-1,,,825,2.710,,,,,,3.0,135,CRC Handbook 97th Ed,"calcite decomposes, M=100.09"
Na2CO3,497-19-8,851,,400,2.532,,,,,,,,CRC Handbook 97th Ed,"decomposes >400C, M=105.99"
K2CO3,584-08-7,891,,,2.428,,,,,,,,CRC Handbook 97th Ed,M=138.21
Al2O3,1344-28-1,2072,2977,,3.950,111.1,1089,,,,9.0,15000,NIST + CRC 97th Ed,"corundum sapphire, M=101.96"
SiO2,14808-60-7,1713,2950,,2.648,9.6,160,,,,7.0,1103,NIST + CRC 97th Ed,"quartz, M=60.08"
Fe2O3,1309-37-1,1539,,,5.242,,,,,,,1060,CRC Handbook 97th Ed,"hematite, M=159.69"
Fe3O4,1317-61-9,1597,,,5.170,,,,,,,560,CRC Handbook 97th Ed,"magnetite, M=231.53"
TiO2,13463-67-7,1843,2972,,4.230,66.0,826,,,,6.0,800,NIST + CRC 97th Ed,"rutile, M=79.87"
MgO,1309-48-4,2852,3600,,3.580,77.0,1910,,,,6.5,6800,CRC Handbook 97th Ed,"periclase, M=40.30"
CaO,1305-78-8,2613,2850,,3.340,80.0,1426,,,,,360,CRC Handbook 97th Ed,"lime, M=56.08"
ZnO,1314-13-2,1975,,,5.606,,,,,,4.5,420,CRC Handbook 97th Ed,"zincite, M=81.38"
CuO,1317-38-0,1326,,,6.310,,,,,,,230,CRC Handbook 97th Ed,"tenorite, M=79.55"
NaF,7681-49-4,993,1704,,2.558,33.4,795,,,,,,CRC Handbook 97th Ed,"villiaumite, M=41.99"
KF,7789-23-3,858,1502,,2.481,27.2,467,,,,,,CRC Handbook 97th Ed,M=58.10
CaF2,7789-75-5,1418,2533,,3.180,30.0,385,,,,4.0,200,CRC Handbook 97th Ed,"fluorite, M=78.07"
MgF2,7783-40-6,1263,2239,,3.148,58.7,943,,,,6.0,600,CRC Handbook 97th Ed,"sellaite, M=62.30"
Ca3(PO4)2,7758-87-4,1670,,,3.140,,,,,,,,CRC Handbook 97th Ed,"tricalcium phosphate, M=310.18"
Na3PO4,7601-54-9,1583,,,2.536,,,,,,,,CRC Handbook 97th Ed,"trisodium phosphate, M=163.94"
Na2SO3,7757-83-7,,,600,2.633,,,,,,,,CRC Handbook 97th Ed,"decomposes 600C, M=126.04"
CaSO3,10257-55-3,,,600,2.660,,,,,,,,CRC Handbook 97th Ed,"decomposes 600C, M=120.14"
Fe,7439-89-6,1538,2861,,7.874,13.8,247,340,6089,80.4,4.0,608,CRC Handbook 97th Ed,"pure iron alpha, M=55.845"
Al,7429-90-5,660,2519,,2.698,10.7,397,294,10897,237,2.75,167,CRC Handbook 97th Ed,"pure aluminum, M=26.982"
Cu,7440-50-8,1085,2562,,8.960,13.3,209,300,4720,401,3.0,369,CRC Handbook 97th Ed,"pure copper, M=63.546"
Si,7440-21-3,1414,3265,,2.329,50.2,1787,359,12782,149,7.0,1000,CRC Handbook 97th Ed,"pure silicon, M=28.086"
AlCl3,7446-70-0,192,180,,2.440,35.4,266,,,,,,CRC Handbook 97th Ed,"sublimes, M=133.34"
FeCl2,7758-94-3,677,1023,,3.160,43.0,339,,,,,,CRC Handbook 97th Ed,M=126.75
FeCl3,7705-08-0,307,315,,2.898,40.0,247,,,,,,CRC Handbook 97th Ed,"sublimes, M=162.20"
CuCl,7758-89-6,430,1490,,4.140,10.2,103,,,,2.5,,CRC Handbook 97th Ed,"nantokite, M=98.99"
CuCl2,7447-39-4,498,,993,3.386,15.0,112,,,,,,CRC Handbook 97th Ed,"decomposes, M=134.45"
ZnCl2,7646-85-7,290,732,,2.907,10.3,76,,,,,,CRC Handbook 97th Ed,M=136.30
BaCl2,10361-37-2,963,1560,,3.856,15.9,76,,,,,,CRC Handbook 97th Ed,M=208.23
SrCl2,10476-85-4,874,1250,,3.052,16.2,102,,,,,,CRC Handbook 97th Ed,M=158.53
AlF3,7784-18-1,1290,1291,,2.882,96.0,1145,,,,,,CRC Handbook 97th Ed,"sublimes, M=83.98"
LiF,7789-24-4,848,1673,,2.635,27.1,1028,,,,,114,CRC Handbook 97th Ed,M=25.94
BaF2,7787-32-8,1368,2260,,4.893,23.4,134,,,,,82,CRC Handbook 97th Ed,M=175.32
SrF2,7783-48-4,1477,2489,,4.277,29.0,231,,,,4.0,,CRC Handbook 97th Ed,M=125.62
Al2(SO4)3,10043-01-3,770,,,2.710,,,,,,,,CRC Handbook 97th Ed,M=342.15
FeSO4,7720-78-7,680,,,3.650,,,,,,,,CRC Handbook 97th Ed,"anhydrous, M=151.91"
CuSO4,7758-98-7,110,,650,3.603,,,,,,,,CRC Handbook 97th Ed,"decomposes, M=159.61"
ZnSO4,7733-02-0,680,,740,3.540,,,,,,,,CRC Handbook 97th Ed,"decomposes, M=161.47"
Li2SO4,10377-48-7,859,,,2.221,9.0,78,,,,,,CRC Handbook 97th Ed,M=109.94
MgCO3,546-93-0,,,350,3.037,,,,,,,,CRC Handbook 97th Ed,"decomposes 350C, M=84.31"
BaCO3,513-77-9,,,811,4.286,,,,,,,,CRC Handbook 97th Ed,"witherite decomposes, M=197.34"
SrCO3,1633-05-2,,,1340,3.500,,,,,,,,CRC Handbook 97th Ed,"strontianite decomposes, M=147.63"
FeCO3,563-71-3,,,400,3.944,,,,,,,,CRC Handbook 97th Ed,"siderite decomposes, M=115.86"
Na2O,1313-59-3,1132,,,2.270,47.7,770,,,,,,CRC Handbook 97th Ed,M=61.98
K2O,12136-45-7,740,,,2.320,,,,,,,,CRC Handbook 97th Ed,M=94.20
Li2O,12057-24-8,1438,,,2.013,35.7,1773,,,,,,CRC Handbook 97th Ed,M=29.88
BeO,1304-56-9,2578,,,3.010,85.0,2827,,,200,,1200,NIST + CRC 97th Ed,M=25.01
Cr2O3,1308-38-9,2435,4000,,5.220,125.0,820,,,,,2500,CRC Handbook 97th Ed,M=151.99
NiO,1313-99-1,1957,,,6.670,49.0,655,,,,,600,CRC Handbook 97th Ed,M=74.69
CoO,1307-96-6,1933,,,6.440,,,,,,,,CRC Handbook 97th Ed,M=74.93
MnO,1344-43-0,1945,,,5.370,,,,,,,,CRC Handbook 97th Ed,M=70.94
BaO,1304-28-5,1923,2000,,5.720,46.0,300,,,,,,CRC Handbook 97th Ed,M=153.33
SrO,1314-11-0,2531,,,5.100,81.0,1581,,,,,,CRC Handbook 97th Ed,M=103.62
B2O3,1303-86-2,450,1860,,2.460,24.6,819,,,,,,CRC Handbook 97th Ed,M=69.62
Li2B4O7,12007-60-2,917,,,2.440,,,,,,,,CRC Handbook 97th Ed,M=169.12
K2B4O7,12045-78-2,807,,,1.740,,,,,,,,CRC Handbook 97th Ed,M=305.50
AlN,24304-00-5,2200,,,3.260,,,,,200,,1200,CRC Handbook 97th Ed,M=40.99
BN,10043-11-5,2967,,,2.290,,,,,33,,4500,CRC Handbook 97th Ed,"cubic boron nitride, M=24.82"
Si3N4,12033-89-5,1900,,,3.170,,,,,15,9.0,1600,CRC Handbook 97th Ed,M=140.28
TiN,25583-20-4,2950,,,5.220,,,,,20,,2000,CRC Handbook 97th Ed,M=61.87
SiC,409-21-2,2830,,,3.210,,,,,120,9.5,2800,CRC Handbook 97th Ed,M=40.10
TiC,12070-08-5,3067,,,4.930,34.4,698,,,30,,3200,CRC Handbook 97th Ed,M=59.88
WC,12070-12-1,2785,,,15.630,40.0,256,,,110,,2400,CRC Handbook 97th Ed,M=195.85
B4C,12069-32-8,2450,,,2.520,,,,,30,9.5,3500,CRC Handbook 97th Ed,M=55.25
TiB2,12045-63-5,3225,,,4.520,,,,,60,,2500,CRC Handbook 97th Ed,M=69.49
ZrB2,12045-64-6,3245,,,6.090,,,,,60,,2300,CRC Handbook 97th Ed,M=112.84
CrB2,12007-16-8,2200,,,5.220,,,,,,,2000,CRC Handbook 97th Ed,M=73.62
Ni,7440-02-0,1455,2913,,8.908,17.5,298,378,6435,90.9,4.0,638,CRC Handbook 97th Ed,"pure nickel, M=58.69"
