cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Si,oxide,Silicon dioxide,SiO2,SiO2,anhydrous,,solid,α quartz,60.0848,-905.978,-910.94,-856.64,6.933,41.84,44.43,739.454903736053,1713.0,1986.15,2950.0,3223.15,,9.6,,,2.648,,,,,,,,,,,,,101.325,NBS Tables,,,A,14808-60-7,,,,,,,,,,,,,
Si,oxide,Silicon dioxide,SiO2,SiO2,anhydrous,,solid,α cristobalite,60.0848,-904.572,-909.48,-855.43,6.991,42.68,44.18,735.2941176470588,1713.0,1986.15,2950.0,3223.15,,9.6,,,2.648,,,,,,,,,,,,,101.325,NBS Tables,,,A,14808-60-7,,,,,,,,,,,,,
Si,oxide,Silicon dioxide,SiO2,SiO2,anhydrous,,solid,α tridymite,60.0848,-904.246,-909.06,-855.26,7.084,43.5,44.6,742.2842382765691,1713.0,1986.15,2950.0,3223.15,,9.6,,,2.648,,,,,,,,,,,,,101.325,NBS Tables,,,A,14808-60-7,,,,,,,,,,,,,
Si,oxide,Silicon dioxide,SiO2,SiO2,anhydrous,,amorphous,,60.0848,,-903.49,-850.7,,46.9,44.4,738.9556094053737,1713.0,1986.15,2950.0,3223.15,,9.6,,,2.648,,,,,,,,,,,,,101.325,NBS Tables,,,A,14808-60-7,,,,,,,,,,,,,
Si,chloride,Silicon tetrachloride,SiCl4,SiCl4,anhydrous,,liquid,,169.898,,-687.0,-619.84,,239.7,145.31,855.2778726059165,-68.0,205.14999999999998,57.0,330.15,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,10026-04-7,,24816.0,"Colorless, clear, mobile, fuming liquid",,"Miscible with benzene, ether, chloroform, petroleum ether; Miscible in all proportions with carbon tetrachloride, tin tetrachloride, titanium chloride, sulfur mono- & dichlorides; Solubility in water: reaction",,,-68.0,57.0,,,,
Si,sulfide,,SiS2,SiS2,anhydrous,,solid,,92.214,,-207.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Si,nitride,Silicon nitride,Si3N4,Si3N4,anhydrous,,solid,α,140.2848,,-743.5,-642.6,,101.3,,,1900.0,2173.15,,,,,,,3.17,,,,,,,,,,,,,101.325,NBS Tables,,,A,12033-89-5,,3084099.0,,,,,,,,,,,
Si,carbide,Silicon carbide,SiC,SiC,anhydrous,,solid,"β, cubic",40.0972,-64.27,-65.3,-62.8,3.268,16.61,26.86,669.872210528416,2830.0,3103.15,,,,,,,3.21,,,,,,,,,,,,,101.325,NBS Tables,,,A,409-21-2,,,,,,,,,,,,,
Si,carbide,Silicon carbide,SiC,SiC,anhydrous,,solid,"α, hexagonal",40.0972,,-62.8,-60.2,,16.48,26.69,665.632512993426,2830.0,3103.15,,,,,,,3.21,,,,,,,,,,,,,101.325,NBS Tables,,,A,409-21-2,,,,,,,,,,,,,
B,borate,Boron oxide,B2O3,B2O3,anhydrous,,solid,,69.6202,-1266.626,-1272.77,-1193.65,9.301,53.97,62.93,903.9043266178496,450.0,723.15,1860.0,2133.15,,24.6,,,2.46,,,,,,,,,,,,,101.325,NBS Tables,,,A,1303-86-2,,,,,,,,,,,,,
B,borate,Boron oxide,B2O3,B2O3,anhydrous,,amorphous,,69.6202,,-1254.53,-1182.3,,77.8,61.1,877.6188519998507,450.0,723.15,1860.0,2133.15,,24.6,,,2.46,,,,,,,,,,,,,101.325,NBS Tables,,,A,1303-86-2,,,,,,,,,,,,,
B,chloride,Boron trichloride,BCl3,BCl3,anhydrous,,solid,,117.17,-440.99,,,,,,,-107.0,166.14999999999998,12.5,285.65,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,10294-34-5,,25135.0,Gas at room temperature,,Solubility in water: reaction,Trialkylboranes are stable indefinitely when stored under an inert atmosphere. /Trialkylboranes/,,-107.0,12.5,,,,
B,chloride,Boron trichloride,BCl3,BCl3,anhydrous,,liquid,,117.17,,-427.2,-387.4,28.79,206.3,106.7,910.6426559699582,-107.0,166.14999999999998,12.5,285.65,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,10294-34-5,,25135.0,Gas at room temperature,,Solubility in water: reaction,Trialkylboranes are stable indefinitely when stored under an inert atmosphere. /Trialkylboranes/,,-107.0,12.5,,,,
B,chloride,,B2Cl4,B2Cl4,anhydrous,,liquid,,163.434,,-523.0,-464.8,,262.3,137.7,842.5419435368406,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,13701-67-2,,139548.0,,,,,,,,,,,
B,sulfide,,B2S3,B2S3,anhydrous,,solid,,117.814,,-240.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,12007-33-9,,123269.0,,,,,,,,,,,
B,nitride,Boron nitride,BN,BN,anhydrous,,solid,,24.8177,-251.46,-254.4,-228.4,2.628,14.81,19.71,794.1912425406061,2967.0,3240.15,,,,,,,2.29,,,,,,,,,,,,,101.325,NBS Tables,,,A,10043-11-5,,66227.0,,,,,,,,,,,
B,chloride,trichloroborazole,B3N3H3Cl3,B3N3H3Cl3,anhydrous,,solid,β,183.8361,,-1066.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
B,carbide,Boron carbide,B4C,B4C,anhydrous,,solid,,55.2552,-70.84,-71.0,-71.0,5.619,27.11,52.8,955.5661729574772,2450.0,2723.15,,,,,,,2.52,,,,,,,,,,,,,101.325,NBS Tables,,,A,12069-32-8,,,,,,,,,,,,,
Al,oxide,Aluminum oxide,Al2O3,Al2O3,anhydrous,,solid,α. corundum,101.9612,-1663.52,-1675.7,-1582.3,10.016,50.92,79.04,775.1968395821156,2072.0,2345.15,2977.0,3250.15,,111.1,,,3.95,,,,,,,,,,,,,101.325,NBS Tables,,,A,1344-28-1,,,,,,,,,,,,,
Al,oxide,Aluminum oxide,Al2O3,Al2O3,anhydrous,,solid,δ,101.9612,,-1666.5,,,,,,2072.0,2345.15,2977.0,3250.15,,111.1,,,3.95,,,,,,,,,,,,,101.325,NBS Tables,,,A,1344-28-1,,,,,,,,,,,,,
Al,oxide,Aluminum oxide,Al2O3,Al2O3,anhydrous,,solid,ρ,101.9612,,-1657.0,,,,,,2072.0,2345.15,2977.0,3250.15,,111.1,,,3.95,,,,,,,,,,,,,101.325,NBS Tables,,,A,1344-28-1,,,,,,,,,,,,,
Al,oxide,Aluminum oxide,Al2O3,Al2O3,anhydrous,,solid,κ,101.9612,,-1662.3,,,,,,2072.0,2345.15,2977.0,3250.15,,111.1,,,3.95,,,,,,,,,,,,,101.325,NBS Tables,,,A,1344-28-1,,,,,,,,,,,,,
Al,oxide,Aluminum oxide,Al2O3,Al2O3,anhydrous,,solid,γ,101.9612,,-1656.9,,,,,,2072.0,2345.15,2977.0,3250.15,,111.1,,,3.95,,,,,,,,,,,,,101.325,NBS Tables,,,A,1344-28-1,,,,,,,,,,,,,
Al,oxide,Aluminum oxide,Al2O3,Al2O3,anhydrous,,amorphous,,101.9612,,-1632.0,,,,,,2072.0,2345.15,2977.0,3250.15,,111.1,,,3.95,,,,,,,,,,,,,101.325,NBS Tables,,,A,1344-28-1,,,,,,,,,,,,,
Al,fluoride,Aluminum fluoride,AlF3,AlF3,anhydrous,,solid,,83.9767,-1497.96,-1504.1,-1425.0,11.623,66.44,75.1,894.2956796349464,1290.0,1563.15,1291.0,1564.15,,96.0,,,2.882,,,,,,,,,,,,,101.325,NBS Tables,,,A,7784-18-1,,,,,,,,,,,,,
Al,chloride,Aluminum chloride,AlCl3,AlCl3,anhydrous,,solid,,133.3405,-703.0,-704.2,-628.8,17.171,110.67,91.84,688.7629789898793,192.0,465.15,180.0,453.15,,35.4,,,2.44,,,,,,,,,,,,,101.325,NBS Tables,,,A,7446-70-0,,,,,,,,,,,,,
Al,chloride,,AlOCl,AlOCl,anhydrous,,solid,,78.4339,,-791.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,sulfide,Aluminum sulfide,Al2S3,Al2S3,anhydrous,,solid,,150.155,,-724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,1302-81-4,,159369.0,,,,,,,,,,,
Al,sulfate,Aluminum sulfate,Al2(SO4)3,Al2(SO4)3,anhydrous,,solid,,342.1478,,-3440.84,-3099.94,,239.3,259.41,758.1811135421593,770.0,1043.15,1600.0,1873.15,,,,,2.71,,,,,,,,,,,,,101.325,NBS Tables,,,A,10043-01-3,,24850.0,"White, lustrous crystals, pieces, granules, or powder",,"86.9; Freely soluble in water, insoluble in ethanol; Soluble in 1 part water.; Soluble in water, insoluble in ethanol.; Solubility in water: good","Stable in air.; Low melting solids or colorless, volatile liquids. /Alkylaluminum halides/; Less sensitive than trialkylaminums to oxidation upon exposure to air. /Alkylaluminum halides/",,770.0,1600.0,,,,
Al,chloride,,AlCl3·0.5SO2,AlCl3·0.5SO2,anhydrous,,solid,,165.3719,,-890.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,chloride,,AlCl3·SO2,AlCl3·SO2,anhydrous,,solid,,197.4033,,-1061.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,sulfide,,AlCl3·H2S,AlCl3·H2S,anhydrous,,solid,,167.4205,,-763.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,sulfide,,AlBr3·H2S,AlBr3·H2S,anhydrous,,solid,,300.7885,,-588.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,sulfide,,AlI3·2H2S,AlI3·2H2S,anhydrous,,solid,,475.8547,,-431.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
