# Compound Names Reference Database
# Format: Formula,Compound Name,Category
# This file contains systematic names for inorganic compounds

# Elements (pure metals and non-metals)
Na,Sodium,element
K,Potassium,element
Li,Lithium,element
Mg,Magnesium,element
Ca,Calcium,element
Ba,Barium,element
Sr,Strontium,element
Fe,Iron,element
Zn,Zinc,element
Ni,Nickel,element
Cu,Copper,element
Al,Aluminum,element
Ti,Titanium,element
Si,Silicon,element
B,Boron,element
Cr,Chromium,element
Mn,Manganese,element
Zr,Zirconium,element
Ce,Cerium,element
Y,Yttrium,element
La,Lanthanum,element
O,Oxygen,element
O2,Oxygen,element
Cl,Chlorine,element
Cl2,Chlorine,element
F,Fluorine,element
F2,Fluorine,element
C,Carbon,element
S,Sulfur,element
S8,Sulfur,element
P,Phosphorus,element
P4,Phosphorus,element
N,Nitrogen,element
N2,Nitrogen,element
H,Hydrogen,element
H2,Hydrogen,element
H2O,Water,element

# Oxides
SiO2,Silicon dioxide,oxide
Al2O3,Aluminum oxide,oxide
TiO2,Titanium dioxide,oxide
Fe2O3,Iron(III) oxide,oxide
Fe3O4,Iron(II III) oxide,oxide
FeO,Iron(II) oxide,oxide
MgO,Magnesium oxide,oxide
CaO,Calcium oxide,oxide
Na2O,Sodium oxide,oxide
K2O,Potassium oxide,oxide
BaO,Barium oxide,oxide
ZnO,Zinc oxide,oxide
Li2O,Lithium oxide,oxide
B2O3,Boron oxide,oxide
SrO,Strontium oxide,oxide
ZrO2,Zirconium dioxide,oxide
CeO2,Cerium(IV) oxide,oxide
Ce2O3,Cerium(III) oxide,oxide
Y2O3,Yttrium oxide,oxide
La2O3,Lanthanum oxide,oxide
NiO,Nickel(II) oxide,oxide
Cr2O3,Chromium(III) oxide,oxide
CrO3,Chromium(VI) oxide,oxide
MnO,Manganese(II) oxide,oxide
MnO2,Manganese(IV) oxide,oxide
Mn2O3,Manganese(III) oxide,oxide
Mn3O4,Manganese(II III) oxide,oxide
CuO,Copper(II) oxide,oxide
Cu2O,Copper(I) oxide,oxide

# Chlorides
NaCl,Sodium chloride,chloride
KCl,Potassium chloride,chloride
LiCl,Lithium chloride,chloride
MgCl2,Magnesium chloride,chloride
CaCl2,Calcium chloride,chloride
BaCl2,Barium chloride,chloride
AlCl3,Aluminum chloride,chloride
FeCl2,Iron(II) chloride,chloride
FeCl3,Iron(III) chloride,chloride
ZnCl2,Zinc chloride,chloride
SiCl4,Silicon tetrachloride,chloride
BCl3,Boron trichloride,chloride
TiCl4,Titanium tetrachloride,chloride
SrCl2,Strontium chloride,chloride
ZrCl4,Zirconium tetrachloride,chloride
CeCl3,Cerium(III) chloride,chloride
YCl3,Yttrium chloride,chloride
LaCl3,Lanthanum chloride,chloride
NiCl2,Nickel(II) chloride,chloride
CrCl3,Chromium(III) chloride,chloride
MnCl2,Manganese(II) chloride,chloride
CuCl,Copper(I) chloride,chloride
CuCl2,Copper(II) chloride,chloride

# Carbonates
CaCO3,Calcium carbonate,carbonate
Na2CO3,Sodium carbonate,carbonate
K2CO3,Potassium carbonate,carbonate
MgCO3,Magnesium carbonate,carbonate
BaCO3,Barium carbonate,carbonate
Li2CO3,Lithium carbonate,carbonate
FeCO3,Iron(II) carbonate,carbonate
ZnCO3,Zinc carbonate,carbonate
SrCO3,Strontium carbonate,carbonate
MnCO3,Manganese(II) carbonate,carbonate
NiCO3,Nickel(II) carbonate,carbonate
CuCO3,Copper(II) carbonate,carbonate

# Sulfates
Na2SO4,Sodium sulfate,sulfate
K2SO4,Potassium sulfate,sulfate
MgSO4,Magnesium sulfate,sulfate
CaSO4,Calcium sulfate,sulfate
BaSO4,Barium sulfate,sulfate
Al2(SO4)3,Aluminum sulfate,sulfate
FeSO4,Iron(II) sulfate,sulfate
Fe2(SO4)3,Iron(III) sulfate,sulfate
ZnSO4,Zinc sulfate,sulfate
SrSO4,Strontium sulfate,sulfate
NiSO4,Nickel(II) sulfate,sulfate
MnSO4,Manganese(II) sulfate,sulfate
Ce2(SO4)3,Cerium(III) sulfate,sulfate
CuSO4,Copper(II) sulfate,sulfate

# Fluorides
NaF,Sodium fluoride,fluoride
KF,Potassium fluoride,fluoride
LiF,Lithium fluoride,fluoride
MgF2,Magnesium fluoride,fluoride
CaF2,Calcium fluoride,fluoride
BaF2,Barium fluoride,fluoride
AlF3,Aluminum fluoride,fluoride
FeF2,Iron(II) fluoride,fluoride
FeF3,Iron(III) fluoride,fluoride
ZnF2,Zinc fluoride,fluoride
SiF4,Silicon tetrafluoride,fluoride
BF3,Boron trifluoride,fluoride
SrF2,Strontium fluoride,fluoride
ZrF4,Zirconium tetrafluoride,fluoride
CeF3,Cerium(III) fluoride,fluoride
YF3,Yttrium fluoride,fluoride
LaF3,Lanthanum fluoride,fluoride
NiF2,Nickel(II) fluoride,fluoride
CrF3,Chromium(III) fluoride,fluoride
MnF2,Manganese(II) fluoride,fluoride
CuF,Copper(I) fluoride,fluoride
CuF2,Copper(II) fluoride,fluoride

# Phosphates
Na3PO4,Sodium phosphate,phosphate
K3PO4,Potassium phosphate,phosphate
Ca3(PO4)2,Calcium phosphate,phosphate
Mg3(PO4)2,Magnesium phosphate,phosphate
AlPO4,Aluminum phosphate,phosphate
FePO4,Iron(III) phosphate,phosphate

# Metaphosphates
NaPO3,Sodium metaphosphate,metaphosphate
KPO3,Potassium metaphosphate,metaphosphate
Ca(PO3)2,Calcium metaphosphate,metaphosphate
Mg(PO3)2,Magnesium metaphosphate,metaphosphate
Al(PO3)3,Aluminum metaphosphate,metaphosphate

# Trimetaphosphates
Na3P3O9,Sodium trimetaphosphate,metaphosphate
K3P3O9,Potassium trimetaphosphate,metaphosphate

# Hexametaphosphates
Na6P6O18,Sodium hexametaphosphate,metaphosphate
K6P6O18,Potassium hexametaphosphate,metaphosphate

# Pyrophosphates
Na4P2O7,Sodium pyrophosphate,pyrophosphate
K4P2O7,Potassium pyrophosphate,pyrophosphate
Ca2P2O7,Calcium pyrophosphate,pyrophosphate
Mg2P2O7,Magnesium pyrophosphate,pyrophosphate

# Borates
Na2B4O7,Sodium tetraborate,borate
NaBO2,Sodium metaborate,borate
Na3BO3,Sodium borate,borate
CaB4O7,Calcium tetraborate,borate
Ca(BO2)2,Calcium metaborate,borate
K3BO3,Potassium borate,borate
Li3BO3,Lithium borate,borate

# Sulfites
Na2SO3,Sodium sulfite,sulfite
K2SO3,Potassium sulfite,sulfite
CaSO3,Calcium sulfite,sulfite
MgSO3,Magnesium sulfite,sulfite
BaSO3,Barium sulfite,sulfite
Li2SO3,Lithium sulfite,sulfite

# Sulfides
Na2S,Sodium sulfide,sulfide
K2S,Potassium sulfide,sulfide
CaS,Calcium sulfide,sulfide
MgS,Magnesium sulfide,sulfide
BaS,Barium sulfide,sulfide
FeS,Iron(II) sulfide,sulfide
FeS2,Iron(II) disulfide,sulfide
ZnS,Zinc sulfide,sulfide
NiS,Nickel(II) sulfide,sulfide
CuS,Copper(II) sulfide,sulfide
Cu2S,Copper(I) sulfide,sulfide
Al2S3,Aluminum sulfide,sulfide
MnS,Manganese(II) sulfide,sulfide
CrS,Chromium sulfide,sulfide

# Pyrosulfates
Na2S2O7,Sodium pyrosulfate,pyrosulfate
K2S2O7,Potassium pyrosulfate,pyrosulfate

# Carbides
SiC,Silicon carbide,carbide
B4C,Boron carbide,carbide
TiC,Titanium carbide,carbide
Al4C3,Aluminum carbide,carbide
CaC2,Calcium carbide,carbide
Fe3C,Iron carbide,carbide
ZnC2,Zinc carbide,carbide
ZrC,Zirconium carbide,carbide
CrC,Chromium carbide,carbide

# Nitrides
BN,Boron nitride,nitride
Si3N4,Silicon nitride,nitride
AlN,Aluminum nitride,nitride
TiN,Titanium nitride,nitride
Fe4N,Iron nitride,nitride
Ca3N2,Calcium nitride,nitride
Mg3N2,Magnesium nitride,nitride
Li3N,Lithium nitride,nitride
ZrN,Zirconium nitride,nitride
CrN,Chromium nitride,nitride

# Borides
TiB2,Titanium diboride,boride
AlB2,Aluminum diboride,boride
FeB,Iron boride,boride
Fe2B,Iron diboride,boride
CaB6,Calcium hexaboride,boride
MgB2,Magnesium diboride,boride
ZrB2,Zirconium diboride,boride
CrB,Chromium boride,boride
CrB2,Chromium diboride,boride

# Nitrates
NaNO3,Sodium nitrate,nitrate
KNO3,Potassium nitrate,nitrate
LiNO3,Lithium nitrate,nitrate
Mg(NO3)2,Magnesium nitrate,nitrate
Ca(NO3)2,Calcium nitrate,nitrate
Ba(NO3)2,Barium nitrate,nitrate
Sr(NO3)2,Strontium nitrate,nitrate
Fe(NO3)3,Iron(III) nitrate,nitrate
Fe(NO3)2,Iron(II) nitrate,nitrate
Zn(NO3)2,Zinc nitrate,nitrate
Ni(NO3)2,Nickel(II) nitrate,nitrate
Cu(NO3)2,Copper(II) nitrate,nitrate
Al(NO3)3,Aluminum nitrate,nitrate
AgNO3,Silver nitrate,nitrate
# Nitrites
NaNO2,Sodium nitrite,nitrite
KNO2,Potassium nitrite,nitrite
LiNO2,Lithium nitrite,nitrite
Ca(NO2)2,Calcium nitrite,nitrite
Ba(NO2)2,Barium nitrite,nitrite
# Bromides
NaBr,Sodium bromide,bromide
KBr,Potassium bromide,bromide
LiBr,Lithium bromide,bromide
MgBr2,Magnesium bromide,bromide
CaBr2,Calcium bromide,bromide
BaBr2,Barium bromide,bromide
SrBr2,Strontium bromide,bromide
FeBr2,Iron(II) bromide,bromide
FeBr3,Iron(III) bromide,bromide
ZnBr2,Zinc bromide,bromide
NiBr2,Nickel(II) bromide,bromide
CuBr,Copper(I) bromide,bromide
CuBr2,Copper(II) bromide,bromide
AlBr3,Aluminum bromide,bromide
