formula,CID,CAS,color,boiling_point_text,Tb_C_pubchem,melting_point_text,Tm_C_pubchem,solubility,density_text,density_g_per_cm3_pubchem,vapor_pressure_text,vapor_pressure_mmHg_pubchem,decomposition_text,stability,Td_C_pubchem,flash_point_text,flash_point_C_pubchem
SiCl4,24816.0,10026-04-7,"Colorless, clear, mobile, fuming liquid",57Â °C,57.0,-68Â °C,-68.0,"Miscible with benzene, ether, chloroform, petroleum ether; Miscible in all proportions with carbon tetrachloride, tin tetrachloride, titanium chloride, sulfur mono- & dichlorides; Solubility in water: reaction",Relative vapor density  (air = 1): 5.9,1.0,"Vapor pressure, kPa at 20Â °C: 26",236.0,"When heated to decomp, it emits toxic fumes of /hydrogen chloride./",,,,
Si3N4,3084099.0,12033-89-5,,,,,,,,,,,,,,,
BCl3,25135.0,10294-34-5,Gas at room temperature,12.5Â °C,12.5,-107Â °C,-107.0,Solubility in water: reaction,Relative vapor density  (air = 1): 4.03,1.0,"Vapor pressure, kPa at 20Â °C: 150",1250.0,"The toxic action of the halogenated borons is considerably influenced by their decomposition products (hydrofluoric acid-, fluoboric acid-, hydrochloric acid-). /Halogenated borons/",Trialkylboranes are stable indefinitely when stored under an inert atmosphere. /Trialkylboranes/,,,
B2Cl4,139548.0,13701-67-2,,,,,,,,,,,,,,,
B2S3,123269.0,12007-33-9,,,,,,,,,,,,,,,
BN,66227.0,10043-11-5,,,,,,,,,,,,,,,
Al2S3,159369.0,1302-81-4,,,,,,,,,,,,,,,
Al2(SO4)3,24850.0,10043-01-3,"White, lustrous crystals, pieces, granules, or powder",1600,1600.0,770 °C (with decomposition),770.0,"86.9; Freely soluble in water, insoluble in ethanol; Soluble in 1 part water.; Soluble in water, insoluble in ethanol.; Solubility in water: good",2.71 g/cmÂ³,2.71,Esentially zero.,,770Â °C,"Stable in air.; Low melting solids or colorless, volatile liquids. /Alkylaluminum halides/; Less sensitive than trialkylaminums to oxidation upon exposure to air. /Alkylaluminum halides/",770.0,,
ZnO,14806.0,174846-84-5,,,,,,,,,,,,,,,
ZnF2,24551.0,573640-07-0,COLORLESS MONOCLINIC OR TRICLINIC CRYSTALS; TETRAGONAL NEEDLES (RUTILE LATTICE) OR WHITE CRYSTALLINE MASS,"1,500 °C",500.0,872 °C,872.0,"1.516 G SOL IN 100 ML WATER; BECOMES ANHYDR AT 100 °C /TETRAHYDRATE/; INSOL IN ALCOHOL & AMMONIA; SOL IN HOT ACID; SLIGHTLY SOL IN AQ HYDROFLUORIC ACID; SOL IN AMMONIUM HYDROXIDE, HYDROCHLORIC & NITRIC ACIDS; 1.62 G/100 CC WATER AT 20 °C",4.9 g/cu cm,4.9,,,When heated to decomp it emits toxic fumes of /hydrogen fluoride & zinc oxide/.,,,,
ZnS,54104351.0,,,,,,,,,,,,,,,,
ZnSO4,24424.0,7733-02-0,"Colorless, orthorhombic crystals",,,680 °C (decomposes),680.0,"Solubility: 54.480 lb/100 lb water /Heptahydrate/; 57.7 g/100 g water at 25 °C; In water solubility, 101 g/100 g water at 70 °C; Solubility in water, g/100ml at 20Â °C: 22 (good)",3.8 g/cmÂ³,3.8,,,680Â °C,There is ... /a/ tendency for solutions of zinc sulfate to form slight cloudiness due to seperation of basic salt formed through partial hydrolysis.,680.0,,
ZnCO3,129627956.0,,,,,,,,,,,,,,,,
CuO,14829.0,163686-95-1,,,,,,,,,,,,,,,
Cu2O,10313194.0,1308-76-5,,,,,,,,,,,,,,,
CuF2,522688.0,7789-19-7,,,,,,,,,,,,,,,
CuCl2,24014.0,7447-39-4,"Yellow to brown, microcrystalline powder; Yellow-brown, monoclinic crystals",993 °C DECOMP TO CUPROUS CHLORIDE,993.0,630 °C (extrapolated),630.0,"Green to blue powder or orthorhombic, bipyramidal crystals; deliquescent in moist air, efflorescent in dry air; water loss occurs from 70-200 °C; mp 100 °C; ... freely sol in water, methanol, ethanol; moderately sol in acetone, ethyl acetate; slightly sol in ether. The aq soln is acid to litmus; pH of 0.2 molar soln 3.6; /Dihydrate/; Soluble in acetone.; SOL IN HOT SULFURIC ACID.; 70.6 g/100 cc water @ 0 °C, 107.9 g/100 cc water @ 100 °C; 53 g/100 cc alcohol @ 15 °C; For more Solubility (Complete) data for COPPER(II) CHLORIDE (6 total), please visit the HSDB record page.",3.39 @ 25 °C/4 °C,3.39,,,993 °C DECOMP TO CUPROUS CHLORIDE,Forms dihydrate in moist air.,993.0,,
