,"Soda–lime–silica (CO) container glass(38)","NIST 710A(39)","NIST 717A(40)","711(41)","710(42)","DGG I","Waste glass standard (WGS)(44)"
,,,,,,,
"SiO2",74.41,71.43,72.25,71.28,72.74,70.94,53.76
"Al2O3",0.75,1.31,2.19,0.51,0.11,0.72,3.04
"Na2O",12.9,8.25,1.03,3.76,8.7,14.34,12.54
"K2O",0.19,6.27,5.42,5.55,5.07,0.21,1.93
"MgO",0.3,0,0,0,0,6.16,1.41
"CaO",11.27,9.62,0,0,12.82,7.13,1.77
"SO3",0.16,0,0,0,0.15,0.32,0
"Fe2O3",0.01,0,0,0,0.01,0.07,6
"TiO2",0.01,0.32,0,0,0,0.1,1
"ZnO",0,2.81,0,0,0,0,0
"B2O3",0,0,16.97,0,0,0,8.24
"Li2O",0,0,2.14,0,0,0,7.33
"PbO",0,0,0,18.9,0,0,0
"Sb2O3",0,0,0,0,0.4,0,0
"MnO2",0,0,0,0,0,0,1.84
"Cr2O3",0,0,0,0,0,0,0.04
"ZrO2",0,0,0,0,0,0,0.06
"BaO",0,0,0,0,0,0,0.04
"NiO",0,0,0,0,0,0,1
