"Model","Melting point prediction (°C)",,,,,,
,"CO","710A","717A",711,710,"DGG I","WGS"
"Experiment",1467,1464,1555,1327,1434,1439,1048
"Mazurin(1,9)",1440,"-","-","-","-",1428,"-"
"Bottinga(15)",1494,1525,"-","-",1475,1443,"-"
"Lakatos 1972(7)",1478,"(1509)","-","-","(1441)","(1458)","-"
"Lakatos 1976(7)",1473,"(1471)","-","-","(1444)","(1456)","-"
"Lyon(14)",1479,"(1461)","-","-","(1423)",1454,"-"
"Sasek(10,34)",1507,"(1590)","-","-","(1493)",1498,"-"
"Ledererova(13,34,36)",1529,"(1571)","-","-","(1498)",1508,"-"
"Cuartas(12,34,36)","(1460)","(1545)","-","-","(1491)",1455,"-"
"Braginskii(11,34,36)","(1321)","-","-","-","-","(1436)","-"
"Herbert(16)","-","-","-",1321,"-","-","-"
"Öksoy(23)",1438,"(290)a","-","-","(1406)","(1198)a","-"
"Öksoyb(23)",1476,"(1494)","-","-","(1437)","(1456)","-"
"Priven(1,28)",1437,1431,1460,1321,1474,1443,"(1282)"
"Fluegel 2004(31)",1478,1465,1558,1323,1434,1452,"-"
"Fluegel 2005(32)",1480,"(1534)","-","-","(1472)","(1440)","-"
"Hrma, 1994(25)","-","-","-","-","-","-","(1075)c"
"Hrmad, 2006(33)",1475,"-","-","-","-",1437,"-"
"Hrmae, 2006(33)",1467,"(1433)","(1524)","-",1401,1444,"-"
"This work",1468,1457,1526,1310,1434,1446,1050
