"Component","log(η/(Pa s))",,
,1.5,6.6,12
"Ag2O",0.0003,0,0
"Al2O3",11.3,12.7,10
"As2O3",0.11,0.11,0.11
"B2O3",18.15,16.97,16.97
"BaO",10,8,19.2
"Bi2O3",2.83,0,0
"CaO",33.47,33.1,50.14
"CdO",0.13,0,0
"CeO2",3.21,0.3,0.3
"Cl",1.48,0,0
"Co3O4",0.05,0.05,0.05
"Cr2O3",0.35,0.16,0.16
"Cs2O",0.26,0,0
"CuO",2.54,0,0
"Eu2O3",0.86,0,0
"F",10.31,10.31,4.55
"Fe2O3",6.99,2.15,0.57
"Ga2O3",1.1,0,0
"Gd2O3",1.54,0,0
"I",0.08,0,0
"K2O",41.67,30,34.05
"La2O3",0.42,0,0
"Li2O",35.9,33.3,45
"MgO",16.9,20,16.61
"MnO2",3.43,0.18,0.18
"MoO3",0.33,0,0
"Na2O",44,42,42
"Nb2O5",0.01,0,0
"Nd2O3",1.78,0,0
"NiO",1.87,0,0
"P2O5",4.64,0.85,0
"PbO",49.96,50,56
"PdO",0.001,0,0
"Pr2O3",0.0005,0,0
"Rb2O",0.001,0,0
"ReO2",0.03,0,0
"Rh2O3",0.001,0,0
"RuO2",0.002,0,0
"Sb2O3",0.17,0.17,0.17
"Se",0.02,0.02,0.02
"SiO2, min.",42.62,42.62,41.4
"SiO2, max.",89.2,87.1,91.97
"Sm2O3",0.87,0,0
"SnO2",1.83,0.27,0
"SO3",1.24,0.32,0.33
"SrO",7.37,7.37,18.02
"TeO2",0.001,0,0
"ThO2",1.46,0,0
"TiO2",9.26,3.29,25
"UO2",4.19,0,0
"V2O5",2.13,0,0
"WO3",0.04,0,0
"Y2O3",0.91,0,0
"ZnO",5.19,8,2.81
"ZrO2",9.78,2.77,1.76
