"Variable","Coefficient","t-value"
"Constant",1824.497,"-"
"Al2O3",19.341,12.4
"B2O3","-22.347","-25.97"
"(B2O )23",0.60376,11.69
"BaO","-18.931","-25.61"
"Bi2O3","-42.416","-8.05"
"CaO","-17.453","-20.28"
"(CaO)2",0.12038,5.09
"CeO2","-22.418","-8.07"
"Cl","-8.563","-2.33"
"CuO","-30.913","-5.31"
"F","-11.739","-15.51"
"Fe2O3","-13.611","-15.81"
"K2O","-31.907","-27.61"
"(K O)22",0.61234,9.51
"(K2O)3","-0.006662","-6.13"
"Li2O","-30.336","-30.42"
"(Li2O)2",0.22499,7.95
"MgO","-5.038","-12.38"
"MnO2","-17.050","-5.11"
"K2O.MgO",0.59449,2.51
"Na2O","-30.610","-53.42"
"(Na2O)2",0.27887,25.22
"Nd2O3","-39.662","-9.41"
"PbO","-21.349","-144.74"
"SO3","-13.908","-2.54"
"SrO","-17.292","-22.94"
"ThO2","-17.185","-2.97"
"TiO2","-10.323","-13.63"
"UO2","-17.672","-6.67"
"V2O5","-21.727","-5.80"
"ZnO","-6.280","-5.78"
"ZrO2",0.173,15.86
"B2O3×Na2O",0.28237,-7.95
"B2O3×K2O",0.2789,-3.27
"B2O3×Li2O",0.16843,-3.47
"Al2O3×Na2O",0.23085,-3.16
"Al2O3×Li2O",0.38421,-3.94
"Al2O3×MgO",0.44589,-3.53
"Al2O3×CaO",0.93909,-12.38
"Na2O×K2O",0.58773,6.7
"Na2O×Li2O",0.20691,5.64
"Na2O×CaO",0.19254,5.61
"K2O×Li2O",0.24924,5.98
"K2O×CaO",0.29628,2.78
"MgO.CaO",0.17394,-4.19
"Al2O3×Na2O×CaO",0.03362,5.44
