Nr,SiO2,Al2O3,Na2O,K2O,Li2O,CaO,MgO,BaO,ZnO,PbO,B2O3,"Calc. T,°C, for log η 2.0","ΔT,°C, for log η 2.0","Calc. T,°C, for log η 4.0","ΔT,°C, for log η 4.0","Calc. T,°C, for log η 6.0","ΔT,°C, for log η 6.0"
F₂,73.5,1.63,13.8,0.5,0,10.1,0,0,0,0,0.28,1464.5,-2.2,1027.5,-1.4,824.7,-4.6
3,73.2,1.68,13.9,0.5,0,10.1,0,0,0,0,0.5,1456.7,3.5,1022.8,4.5,821.9,0.4
4,73.7,1.68,12.9,0.5,1,10.3,0,0,0,0,0,1436.4,4.1,1001.6,7.2,799.9,9.1
5,72.9,1.65,13.1,0.48,1,10.4,0,0,0,0,0.27,1419.9,7.1,991.8,5.5,793.9,7.1
6,72.8,1.65,13.1,0.48,1.05,10.4,0,0,0,0,0.56,1410,2.8,985.4,-2.3,789.7,3.3
7,73.4,1.69,12.1,0.48,2.05,10.3,0,0,0,0,0,1397.5,-4.8,967.7,1.8,769.2,3.2
8,73.4,1.6,12,0.48,2.05,10.2,0,0,0,0,0.29,1393,-3.9,964.9,-0.9,767.7,0.7
9,73.2,1.6,12,0.49,2,10.2,0,0,0,0,0.46,1390.1,3.1,963.7,2.4,767.6,2.4
10,73.3,1.65,11.2,0.48,3,10.3,0,0,0,0,0,1365.4,5.1,939.2,0.7,743,2
11,73,1.63,11.3,0.5,3,10.3,0,0,0,0,0.31,1353.5,0.4,931.9,-5.3,738.5,5.2
12,72.7,1.68,11.3,0.47,3,10.3,0,0,0,0,0.48,1348,3.9,928.6,-3.9,736.7,-4.2
13,72.6,1.65,13.9,0.49,1,10.4,0,0,0,0,0,1409.8,-10.3,984,-1,787.3,1.8
14,72,1.6,13.7,0.45,2,10.3,0,0,0,0,0,1360.1,-1.8,942.4,-3.2,750.7,-1.1
15,71.4,1.6,13.9,0.46,2.7,10,0,0,0,0,0,1320.5,-6,908.6,-6.7,720.8,-6.4
FAL,,,,,,,,,,,,,,,,,
1,72,2,15,0,0,11,0,0,0,0,0,1434.6,4.4,1011.3,-1.1,815.3,-2.6
2,68,6,13,0,0,13,0,0,0,0,0,1463.9,7.3,1043.5,2.2,848.8,1.3
3,68,6,13,0,0,11,2,0,0,0,0,1481.3,6.1,1056,0.2,854.4,0
4,68,6,11,2,0,13,0,0,0,0,0,1484.3,-6.1,1058.6,-6.7,859.4,-4.3
5,68,6,11,2,0,11,2,0,0,0,0,1499.7,-1,1069.9,-2,864.3,-0.2
6,66,6,17,0,0,11,0,0,0,0,0,1406,-3.7,991.7,-3.5,803.7,-4
7,66,6,15,0,0,13,0,0,0,0,0,1410.4,-2.3,1007.8,-1,823.1,-1.7
8,66,6,15,0,0,11,2,0,0,0,0,1431.7,7.6,1022.3,4.3,829.8,3.1
9,66,6,13,2,0,13,0,0,0,0,0,1433.1,-10.7,1024.2,-4.8,834.5,-1.4
10,66,6,13,2,0,11,2,0,0,0,0,1452.1,-2.7,1037.4,2.2,840.4,2.2
11,71,2,15,0,0,9,3,0,0,0,0,1437,6.8,1019.7,0.2,819.8,1.1
12,70,2,15,0,0,7,6,0,0,0,0,1435.7,3.3,1025.2,6.5,822.4,6.3
13,71.33,2,15,0,0,9.67,2,0,0,0,0,1436.6,-0.2,1017.2,0.1,818.5,0.6
14,70.33,2,15,0,0,7.67,5,0,0,0,0,1436.4,-5.3,1023.7,-6.3,821.7,-6.2
